datetime,temp,feelslike,dew,humidity,precip,snow,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,description,source,city,temp_range,heat_index,severity_score,month,season,day_of_week,is_weekend,health_risk_score
2024-09-07,98.5,95.9,51.5,21.0,0.0,0.0,1009.2,25.0,10.0,261.4,22.5,9.0,0.16,Partly cloudy throughout the day.,comb,Phoenix,15.099999999999994,95.91870310999995,4.43,9.0,Fall,Saturday,True,10.522170310999996
2024-09-08,95.4,92.3,48.7,21.5,0.0,0.0,1008.8,13.5,10.1,293.3,25.2,9.0,0.19,Clear conditions throughout the day.,fcst,Phoenix,16.900000000000006,92.28131624140006,3.88,9.0,Fall,Sunday,True,10.062331624140006
2024-09-09,94.7,90.6,41.7,16.9,0.0,0.0,1009.4,6.2,10.1,327.0,28.2,9.0,0.22,Clear conditions throughout the day.,fcst,Phoenix,21.09999999999999,90.5991651058291,3.63,9.0,Fall,Monday,False,9.67338651058291
2024-09-10,93.9,89.8,39.1,15.7,0.012,0.0,1006.8,4.9,12.5,276.8,24.0,9.0,0.25,Clear conditions throughout the day.,fcst,Phoenix,24.89999999999999,89.6388106900291,2.8512000000000004,9.0,Fall,Tuesday,False,9.411519469002911
2024-09-11,94.0,90.0,40.1,15.9,0.008,0.0,1001.8,5.7,15.0,274.9,23.7,9.0,0.29,Clear conditions throughout the day.,fcst,Phoenix,24.0,89.76041382170003,3.3908,9.0,Fall,Wednesday,False,9.515178582170003
2024-09-12,91.5,87.9,41.6,18.4,0.0,0.0,1000.8,4.0,15.0,272.7,23.6,9.0,0.32,Clear conditions throughout the day.,fcst,Phoenix,21.40000000000001,87.60290690670004,3.95,9.0,Fall,Thursday,False,9.487090690670003
2024-09-13,89.3,86.4,42.6,20.4,0.0,0.0,1006.3,7.2,15.0,269.5,23.1,9.0,0.36,Clear conditions throughout the day.,fcst,Phoenix,23.60000000000001,85.71988263588409,3.2300000000000004,9.0,Fall,Friday,False,9.23090826358841
2024-09-14,89.1,86.8,48.4,25.3,0.004,0.0,1008.7,9.6,15.0,262.5,22.6,9.0,0.39,Clear conditions throughout the day.,fcst,Phoenix,21.200000000000003,86.11250590362911,3.0104,9.0,Fall,Saturday,True,9.37288179036291
2024-09-15,92.0,92.3,60.3,35.8,0.012,0.0,1007.3,1.8,14.0,259.9,22.3,8.0,0.42,Clear conditions throughout the day.,fcst,Phoenix,18.0,92.16758603040012,3.5012,9.0,Fall,Sunday,True,10.470188203040012
2024-09-16,92.2,93.0,62.2,37.8,0.0,0.0,1006.8,12.2,15.0,245.3,21.3,8.0,0.46,Clear conditions throughout the day.,fcst,Phoenix,13.5,93.20895235529596,3.37,9.0,Fall,Monday,False,10.594755235529597
2024-09-17,92.2,91.2,57.3,31.8,0.0,0.0,1005.6,34.7,15.0,246.5,21.2,8.0,0.5,Partly cloudy throughout the day.,fcst,Phoenix,15.0,91.13188727945612,3.75,9.0,Fall,Tuesday,False,10.305688727945611
2024-09-18,90.1,86.4,39.2,17.4,0.0,0.0,1007.1,0.0,15.0,267.3,23.1,9.0,0.52,Clear conditions throughout the day.,fcst,Phoenix,15.099999999999994,86.20360304705606,3.37,9.0,Fall,Wednesday,False,9.206740304705606
2024-09-19,89.1,85.3,29.0,12.4,0.0,0.0,1007.8,9.6,15.0,271.1,23.4,9.0,0.56,Clear conditions throughout the day.,fcst,Phoenix,15.600000000000009,85.14708197583606,3.05,9.0,Fall,Thursday,False,8.892908197583605
2024-09-20,87.9,84.4,35.5,15.8,0.004,0.0,1007.4,92.0,15.0,175.8,15.3,6.0,0.59,Cloudy skies throughout the day.,fcst,Phoenix,12.099999999999994,84.20944151646408,2.7404,9.0,Fall,Friday,False,8.853927351646409
2024-09-21,85.8,83.1,28.7,13.7,0.0,0.0,1009.3,1.8,15.0,268.6,23.3,9.0,0.63,Clear conditions throughout the day.,fcst,Phoenix,16.19999999999999,82.48084148677607,3.21,9.0,Fall,Saturday,True,8.687854148677607
2024-09-07,73.3,73.3,59.8,66.3,0.0,0.0,1012.2,12.0,10.0,267.7,23.4,9.0,0.16,Clear conditions throughout the day.,comb,San Jose,26.9,75.84249614266135,3.41,9.0,Fall,Saturday,True,9.845079614266137
2024-09-08,72.4,72.3,57.6,62.5,0.0,0.0,1012.1,15.6,9.8,279.0,24.1,9.0,0.19,Clear conditions throughout the day.,fcst,San Jose,29.0,75.92701658370012,3.1900000000000004,9.0,Fall,Sunday,True,9.586451658370011
2024-09-09,73.1,73.0,57.4,59.9,0.0,0.0,1013.0,11.0,10.1,311.5,27.0,9.0,0.22,Clear conditions throughout the day.,fcst,San Jose,24.999999999999996,76.45640756034118,3.41,9.0,Fall,Monday,False,9.688230756034118
2024-09-10,67.8,67.8,57.2,70.7,0.0,0.0,1012.5,18.8,12.4,274.7,23.8,9.0,0.25,Clear conditions throughout the day.,fcst,San Jose,19.800000000000004,73.51643181157598,3.54,9.0,Fall,Tuesday,False,9.8544231811576
2024-09-11,66.3,66.3,56.8,73.1,0.0,0.0,1009.6,17.3,15.0,264.0,22.6,8.0,0.29,Clear conditions throughout the day.,fcst,San Jose,19.7,72.90603255502886,3.9,9.0,Fall,Wednesday,False,10.141503255502885
2024-09-12,67.4,67.4,55.6,68.3,0.0,0.0,1007.0,14.2,15.0,262.2,22.6,8.0,0.32,Clear conditions throughout the day.,fcst,San Jose,21.40000000000001,74.30085574530415,3.39,9.0,Fall,Thursday,False,9.745455574530414
2024-09-13,69.6,69.5,54.2,60.5,0.0,0.0,1007.4,5.9,15.0,263.2,22.5,8.0,0.36,Clear conditions throughout the day.,fcst,San Jose,24.300000000000004,75.81915810730015,3.21,9.0,Fall,Friday,False,9.523965810730015
2024-09-14,68.8,68.8,55.5,64.2,0.0,0.0,1010.3,8.9,14.9,259.1,22.3,8.0,0.39,Clear conditions throughout the day.,fcst,San Jose,22.000000000000007,75.16348200137604,3.26,9.0,Fall,Saturday,True,9.609268200137604
2024-09-15,66.8,66.8,47.3,52.9,0.0,0.0,1011.5,3.1,14.9,255.1,22.0,8.0,0.42,Clear conditions throughout the day.,fcst,San Jose,18.5,77.56033359368409,2.58,9.0,Fall,Sunday,True,9.12085335936841
2024-09-16,68.9,68.6,44.4,43.5,0.0,0.0,1010.1,8.6,15.0,249.6,21.7,8.0,0.46,Clear conditions throughout the day.,fcst,San Jose,21.90000000000001,77.26954857032499,2.38,9.0,Fall,Monday,False,8.762254857032499
2024-09-17,68.5,68.4,46.6,47.6,0.0,0.0,1009.1,14.2,14.9,245.6,21.3,8.0,0.5,Clear conditions throughout the day.,fcst,San Jose,21.4,77.32153682110014,2.45,9.0,Fall,Tuesday,False,8.898353682110015
2024-09-18,64.9,64.9,49.2,58.3,0.0,0.0,1011.5,20.0,14.9,241.5,20.9,8.0,0.52,Becoming cloudy in the afternoon.,fcst,San Jose,19.300000000000004,77.801748442029,2.52,9.0,Fall,Wednesday,False,9.2493348442029
2024-09-19,64.7,64.7,48.5,57.7,0.0,0.0,1012.7,0.1,14.8,240.3,20.9,8.0,0.56,Clear conditions throughout the day.,fcst,San Jose,17.9,78.03617693414107,2.43,9.0,Fall,Thursday,False,9.205727693414106
2024-09-20,67.1,67.0,49.8,56.1,0.0,0.0,1011.0,0.4,14.9,237.6,20.6,8.0,0.59,Clear conditions throughout the day.,fcst,San Jose,21.200000000000003,77.05373333982106,2.58,9.0,Fall,Friday,False,9.152753333982108
2024-09-21,67.4,67.4,54.6,64.9,0.0,0.0,1012.5,59.0,14.9,220.3,18.9,8.0,0.63,Partly cloudy throughout the day.,fcst,San Jose,15.000000000000009,75.22822184661618,2.72,9.0,Fall,Saturday,True,9.288102184661618
2024-09-07,81.7,81.6,60.3,51.1,0.0,0.0,1014.5,7.3,10.0,282.7,24.3,9.0,0.15,Clear conditions throughout the day.,comb,San Antonio,18.59999999999999,82.6036417074691,4.69,9.0,Fall,Saturday,True,10.656954170746909
2024-09-08,76.4,75.7,50.9,42.5,0.0,0.0,1015.8,3.6,10.1,309.5,26.6,10.0,0.19,Clear conditions throughout the day.,fcst,San Antonio,21.09999999999999,78.07182759970016,4.3,9.0,Fall,Sunday,True,9.634682759970016
2024-09-09,75.9,75.4,52.0,44.5,0.0,0.0,1016.8,16.4,10.1,343.4,29.5,9.0,0.22,Clear conditions throughout the day.,fcst,San Antonio,24.2,77.92671675952508,3.75,9.0,Fall,Monday,False,9.461421675952508
2024-09-10,79.2,80.0,59.4,51.3,0.06,0.0,1013.5,38.9,12.1,290.4,25.0,9.0,0.25,Partly cloudy throughout the day.,fcst,San Antonio,18.39999999999999,80.225407608356,3.756,9.0,Fall,Tuesday,False,9.9493687608356
2024-09-11,80.0,82.4,71.0,74.8,0.056,0.0,1008.5,51.6,15.0,194.4,16.7,5.0,0.25,Partly cloudy throughout the day.,fcst,San Antonio,11.699999999999989,83.54959750320016,2.8356000000000003,9.0,Fall,Wednesday,False,10.475988550320018
2024-09-12,81.3,83.8,70.2,70.8,0.244,0.0,1007.0,28.7,15.0,269.3,23.1,9.0,0.32,Partly cloudy throughout the day.,fcst,San Antonio,16.39999999999999,85.30163519543603,3.2144000000000004,9.0,Fall,Thursday,False,10.805958719543604
2024-09-13,83.3,86.7,71.1,68.3,0.02,0.0,1009.8,33.5,15.0,262.6,22.6,9.0,0.35,Partly cloudy throughout the day.,fcst,San Antonio,17.099999999999994,88.52007848634103,3.052,9.0,Fall,Friday,False,10.936523848634105
2024-09-14,84.4,89.1,72.6,69.1,0.063,0.0,1011.0,44.1,15.0,265.3,22.8,8.0,0.39,Partly cloudy throughout the day.,fcst,San Antonio,16.200000000000003,91.04123081523592,2.9263,9.0,Fall,Saturday,True,11.126196381523592
2024-09-15,86.6,88.1,66.6,54.8,0.004,0.0,1011.4,29.2,15.0,274.7,23.6,8.0,0.42,Partly cloudy throughout the day.,fcst,San Antonio,20.89999999999999,90.356070721024,3.7004,9.0,Fall,Sunday,True,11.0634262721024
2024-09-16,84.8,85.6,64.6,53.4,0.142,0.0,1011.9,46.0,15.0,268.4,23.3,8.0,0.45,Becoming cloudy in the afternoon.,fcst,San Antonio,20.200000000000003,87.03550035462392,3.8242,9.0,Fall,Monday,False,10.745672835462392
2024-09-17,83.3,83.8,64.9,57.1,0.0,0.0,1011.9,39.9,15.0,275.1,23.7,8.0,0.5,Clearing in the afternoon.,fcst,San Antonio,19.60000000000001,85.71944942646917,3.61,9.0,Fall,Tuesday,False,10.633254942646918
2024-09-18,82.6,83.4,66.6,62.4,0.0,0.0,1012.3,19.0,15.0,269.0,23.2,8.0,0.52,Clear conditions throughout the day.,fcst,San Antonio,22.19999999999999,85.81762362425592,3.55,9.0,Fall,Wednesday,False,10.79696236242559
2024-09-19,82.7,84.3,68.3,65.0,0.004,0.0,1012.3,63.2,14.6,233.9,20.1,7.0,0.55,Partly cloudy throughout the day.,fcst,San Antonio,21.40000000000001,86.5697013268,3.3504,9.0,Fall,Thursday,False,10.83473013268
2024-09-20,83.9,85.2,67.8,62.0,0.024,0.0,1011.9,20.8,15.0,266.3,22.9,8.0,0.59,Partly cloudy throughout the day.,fcst,San Antonio,22.09999999999999,87.89483698390009,3.6624,9.0,Fall,Friday,False,11.06017169839001
2024-09-21,82.9,84.1,67.5,62.6,0.0,0.0,1013.8,29.3,15.0,200.8,17.3,7.0,0.62,Becoming cloudy in the afternoon.,fcst,San Antonio,17.799999999999997,86.34996795313597,3.3,9.0,Fall,Saturday,True,10.700796795313597
2024-09-07,86.2,86.2,61.5,48.3,0.0,0.0,1008.4,11.3,10.0,261.5,22.7,9.0,0.16,Clear conditions throughout the day.,comb,Los Angeles,28.0,87.70363300565603,2.49,9.0,Fall,Saturday,True,9.973033300565602
2024-09-08,87.8,86.5,54.8,35.6,0.0,0.0,1008.5,22.9,9.9,283.6,24.8,9.0,0.19,Partly cloudy throughout the day.,fcst,Los Angeles,25.0,86.592530578144,2.49,9.0,Fall,Sunday,True,9.5456930578144
2024-09-09,85.4,85.1,55.5,36.6,0.0,0.0,1010.1,11.7,10.1,311.0,26.9,9.0,0.22,Clear conditions throughout the day.,fcst,Los Angeles,23.0,84.15490382761601,3.66,9.0,Fall,Monday,False,9.7550503827616
